Word 1,Word 2,Human (Mean),scaled_human,svd_cosine,cbow_cosine,skipgram_cosine
admission,ticket,5.536,0.107,,0.357,0.19
alcohol,chemistry,4.125,-0.175,,0.46,0.317
aluminum,metal,6.625,0.325,,0.721,0.562
announcement,effort,2.0625,-0.588,0.059,0.39,0.19
announcement,news,7.1875,0.438,0.412,0.814,0.422
announcement,production,1.6875,-0.662,0.199,0.49,0.155
announcement,warning,4.625,-0.075,0.015,0.652,0.334
Arafat,Jackson,1.0,-0.8,,,
Arafat,peace,2.125,-0.575,,,
Arafat,terror,3.0625,-0.387,,,
architecture,century,1.929,-0.614,,0.182,0.096
arrangement,accommodation,5.125,0.025,,,
arrival,hotel,2.1875,-0.562,0.366,0.544,0.312
asylum,madhouse,8.0625,0.613,,,
atmosphere,landscape,3.5625,-0.287,0.327,0.776,0.403
attempt,peace,0.9375,-0.812,0.038,0.312,0.253
baby,mother,5.25,0.05,0.239,0.751,0.454
bank,money,6.625,0.325,0.058,0.187,0.117
baseball,season,3.2565,-0.349,0.371,0.299,0.274
bed,closet,2.25,-0.55,,0.79,0.482
benchmark,index,5.5,0.1,,,
bird,cock,5.875,0.175,,0.462,0.325
bird,crane,4.8125,-0.037,,0.388,0.379
bishop,rabbi,5.375,0.075,,0.646,0.256
board,recommendation,1.25,-0.75,0.692,0.474,0.292
book,library,5.3125,0.062,0.108,0.514,0.16
book,paper,5.875,0.175,0.491,0.523,0.289
boxing,round,4.1875,-0.162,,,
boy,lad,7.844,0.569,,0.582,0.29
bread,butter,4.1875,-0.162,0.577,0.75,0.571
brother,monk,4.25,-0.15,,0.603,0.271
calculation,computation,8.0565,0.611,,0.463,0.199
canyon,landscape,5.25,0.05,,0.641,0.267
car,automobile,9.369,0.874,0.058,0.389,0.316
car,flight,2.4375,-0.512,0.417,0.609,0.199
cell,phone,6.25,0.25,0.132,0.149,0.107
cemetery,woodland,2.3125,-0.537,,,
century,nation,2.1875,-0.562,0.513,0.507,0.372
century,year,4.0,-0.2,0.346,0.677,0.384
championship,tournament,7.5,0.5,,0.628,0.392
chance,credibility,2.163,-0.567,,,
change,attitude,3.375,-0.325,0.328,0.642,0.2
chord,smile,0.8125,-0.838,,0.581,0.347
closet,clothes,4.625,-0.075,,0.598,0.297
coast,forest,2.125,-0.575,0.045,0.647,0.392
coast,hill,2.3125,-0.537,0.712,0.781,0.457
coast,shore,8.2755,0.655,0.609,0.675,0.548
company,stock,3.75,-0.25,0.466,0.668,0.268
competition,price,3.0,-0.4,0.249,0.645,0.361
computer,internet,6.125,0.225,,,
computer,keyboard,5.9375,0.188,,,
computer,laboratory,3.375,-0.325,,0.463,0.208
computer,news,1.6875,-0.662,,0.502,0.025
computer,software,6.1875,0.238,,,
concert,virtuoso,3.6875,-0.262,,,
consumer,confidence,1.6875,-0.662,-0.024,0.357,0.069
consumer,energy,2.75,-0.45,0.222,0.549,0.258
country,citizen,4.3125,-0.137,0.346,0.6,0.16
crane,implement,2.125,-0.575,,,
credit,card,4.5625,-0.088,-0.123,0.358,0.317
credit,information,3.644,-0.271,0.336,0.618,0.375
cucumber,potato,4.0625,-0.188,,,
cup,article,1.3125,-0.738,0.099,0.508,0.317
cup,artifact,2.5,-0.5,,,
cup,coffee,5.0625,0.012,0.467,0.545,0.519
cup,drink,4.75,-0.05,0.494,0.601,0.425
cup,entity,1.375,-0.725,,0.497,0.183
cup,food,1.875,-0.625,0.222,0.224,0.224
cup,liquid,3.75,-0.25,0.258,0.487,0.251
cup,object,4.25,-0.15,0.031,0.299,0.038
cup,substance,1.9375,-0.613,0.144,0.329,0.229
cup,tableware,6.0,0.2,,,
currency,market,4.3125,-0.137,,0.555,0.283
day,dawn,4.625,-0.075,0.107,0.575,0.346
day,summer,3.125,-0.375,0.455,0.766,0.403
death,inmate,1.944,-0.611,,,
death,row,1.6875,-0.662,0.132,0.463,0.164
decoration,valor,3.25,-0.35,,,
delay,news,1.4375,-0.713,0.279,0.546,0.221
delay,racism,0.875,-0.825,,,
deployment,departure,5.5,0.1,,,
deployment,withdrawal,3.5,-0.3,,,
development,issue,3.3125,-0.338,0.296,0.597,0.279
direction,combination,2.0625,-0.588,-0.054,0.695,0.336
disability,death,2.3125,-0.537,,0.303,0.042
disaster,area,1.625,-0.675,0.321,0.501,0.18
discovery,space,3.9375,-0.213,0.017,0.218,-0.013
dividend,calculation,5.1875,0.038,,0.531,0.162
dividend,payment,5.5,0.1,,0.575,0.323
doctor,liability,2.5,-0.5,,0.157,0.254
doctor,nurse,6.125,0.225,,0.341,0.332
doctor,personnel,3.5625,-0.287,0.138,0.118,0.237
dollar,buck,8.5625,0.712,-0.053,0.268,0.163
dollar,loss,2.1875,-0.562,0.293,0.504,0.177
dollar,profit,5.375,0.075,0.211,0.426,0.279
dollar,yen,6.3125,0.262,,,
drink,car,0.3125,-0.938,0.444,0.532,0.297
drink,ear,0.375,-0.925,0.359,0.746,0.446
drink,eat,4.125,-0.175,0.071,0.538,0.382
drink,mother,0.5625,-0.887,0.131,0.684,0.355
drink,mouth,4.7375,-0.052,0.148,0.607,0.327
drug,abuse,4.9375,-0.012,,0.431,0.132
energy,crisis,3.0505,-0.39,-0.036,0.653,0.255
energy,laboratory,2.7565,-0.449,0.16,0.659,0.21
energy,secretary,1.0625,-0.787,0.459,0.438,0.267
environment,ecology,7.1875,0.438,,,
equipment,maker,2.5625,-0.488,,0.313,0.081
exhibit,memorabilia,4.625,-0.075,,,
experience,music,2.3125,-0.537,0.061,0.59,0.353
family,planning,1.75,-0.65,0.289,0.442,0.218
FBI,fingerprint,4.0625,-0.188,,0.403,0.242
FBI,investigation,5.0625,0.012,,0.276,0.268
fertility,egg,5.1875,0.038,,0.278,0.003
fighting,defeating,5.5,0.1,,,
five,month,1.069,-0.786,0.236,0.481,0.297
focus,life,2.3125,-0.537,0.299,0.681,0.295
food,fruit,7.0625,0.413,0.161,0.424,0.18
food,preparation,3.75,-0.25,0.627,0.778,0.428
food,rooster,2.5625,-0.488,,,
football,basketball,4.125,-0.175,,0.502,0.454
football,soccer,8.5625,0.712,,,
football,tennis,3.6875,-0.262,,0.76,0.527
forest,graveyard,1.394,-0.721,,0.566,0.264
fuck,sex,8.25,0.65,,,
furnace,stove,8.0625,0.613,,0.74,0.278
game,defeat,3.6875,-0.262,0.077,0.422,0.288
game,round,5.1875,0.038,0.495,0.702,0.335
game,series,4.5625,-0.088,0.637,0.635,0.434
game,team,4.625,-0.075,0.445,0.659,0.352
